vacc_date,zipcode,count_given,dose_nbr,protocol
2021-01-02,37138.0,40.0,1.0,two-shot
2021-01-02,37189.0,3.0,1.0,two-shot
2021-01-02,37201.0,1.0,1.0,two-shot
2021-01-02,37203.0,80.0,1.0,two-shot
2021-01-02,37204.0,50.0,1.0,two-shot
2021-01-02,37205.0,77.0,1.0,two-shot
2021-01-02,37206.0,66.0,1.0,two-shot
2021-01-02,37207.0,32.0,1.0,two-shot
2021-01-02,37208.0,24.0,1.0,two-shot
2021-01-02,37209.0,119.0,1.0,two-shot
2021-01-02,37210.0,23.0,1.0,two-shot
2021-01-02,37211.0,96.0,1.0,two-shot
